state,year,ekey,next_ekey,ac,AC_TYPE,party,cand,share,margin,won,party_wins_next,cand_wins_next,ran_again
Andhra Pradesh,1955,1955.06,1957.06,ATMAKUR,GEN,INC,BEZWADA GOPALA REDDI,0.5936499656178124,0.33426599957318665,1,1,0,0
Andhra Pradesh,1955,1955.06,1957.06,ATMAKUR,GEN,IND,GANGA CHINNA KONDAIAH,0.2593839660446257,-0.33426599957318665,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,KALWAKURTHY,SC,INC,DR NAGANNA SC,0.24078857919782462,0.026172671651937457,1,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,KALWAKURTHY,SC,INC,SANTA BAI,0.21461590754588716,-0.026172671651937457,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,KOLLAPUR,GEN,INC,M NARSING RAO,0.6589988770544799,0.31799775410895975,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,KOLLAPUR,GEN,PDF,GOPAL RAO,0.34100112294552015,-0.31799775410895975,0,0,0,1
Andhra Pradesh,1957,1957.06,1962.06,ALAMPUR,GEN,INC,JAYALAXMI DEVAMMA,0.5014655042837818,0.002931008567563509,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,ALAMPUR,GEN,IND,JANARDHANA REDDY,0.4985344957162183,-0.002931008567563509,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,ATMAKUR,GEN,INC,MURLIDHAR REDDI,0.6586242552562903,0.31724851051258063,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,ATMAKUR,GEN,PSP,P RADHA KRISHNA,0.3413757447437097,-0.31724851051258063,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,MAKTHAL,SC,IND,BANNAPPA,0.24666192436416218,0.044756451669329345,1,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,MAKTHAL,SC,INC,BASAPPA SC,0.20190547269483283,-0.044756451669329345,0,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,KODANGAL,GEN,INC,ACHUTA REDDY,0.4715632754342432,0.1338461538461539,1,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,KODANGAL,GEN,PDF,VITTAL RAO,0.3377171215880893,-0.1338461538461539,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,MAHBUBNAGAR,GEN,PP,EGURU CHINNAPPA,0.3996925441967717,0.07338246597639825,1,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,MAHBUBNAGAR,GEN,PSP,M RAMREDDI,0.32631007822037345,-0.07338246597639825,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,SHADNAGAR,GEN,INC,SHAHJAHAN BEGUM,0.4615348988004261,0.15853827983882174,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,SHADNAGAR,GEN,IND,L LAXMAREDDY,0.30299661896160435,-0.15853827983882174,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,NAGARKURNOOL,SC,INC,JANARDHAN REDDY,0.49535999407264714,0.12473373219478767,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,NAGARKURNOOL,SC,IND,BALASWAMI GUPTA,0.37062626187785946,-0.12473373219478767,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,MUSHEERABAD,GEN,INC,K SEETHIAH GUPTA,0.693998528839081,0.38799705767816195,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,MUSHEERABAD,GEN,PSP,K SOMAYAJULU,0.306001471160919,-0.38799705767816195,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,SULTAN BAZAR,GEN,INC,VASUDEV KRISHNAJI NAIK,0.733025620442839,0.5966954311325172,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,SULTAN BAZAR,GEN,IND,RAMASWAMI,0.13633018931032176,-0.5966954311325172,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,ASAFNAGAR,GEN,INC,V B RAJU,0.5199941622883829,0.17556917688266194,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,ASAFNAGAR,GEN,IND,V RAMACHANDAR RAO,0.344424985405721,-0.17556917688266194,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,HIGH COURT,GEN,INC,GOPAL RAO EKBOTE,0.6655619162398313,0.4877372702621272,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,HIGH COURT,GEN,IND,DR N M JAISOORYA,0.17782464597770412,-0.4877372702621272,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,MALAKPET,GEN,INC,MIR AHMED ALI KHAN,0.4812034778257334,0.23831863389003566,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,MALAKPET,GEN,PDF,KHATIJA ALAM,0.24288484393569776,-0.23831863389003566,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,YAKUTPURA,GEN,INC,SHABUDDIN AHMED KHAN,0.5794049801857218,0.36014668480511025,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,YAKUTPURA,GEN,PDF,KHURSHID HASAN,0.2192582953806116,-0.36014668480511025,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,PATHERGATTI,GEN,INC,MASOOMA BEGUM,0.4158110306906806,0.028839140436514643,1,0,0,1
Andhra Pradesh,1957,1957.06,1962.06,PATHERGATTI,GEN,PDF,AKTHAR HASAN,0.38697189025416595,-0.028839140436514643,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,SECUNDERABAD CANTONMENT,GEN,INC,B V GURUMURTHY,0.6989264413518886,0.39785288270377733,1,1,1,1
Andhra Pradesh,1957,1957.06,1962.06,SECUNDERABAD CANTONMENT,GEN,PSP,P JAGANNATHAM,0.3010735586481113,-0.39785288270377733,0,0,0,0
Andhra Pradesh,1957,1957.06,1962.06,JUBILEE HILLS,SC,INC,NAWAB MEHDI NAWAZ JUNG,0.3539587017283669,0.0571986766299698,1,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,JUBILEE HILLS,SC,INC,SUMITRA DEVI SC,0.2967600250983971,-0.0571986766299698,0,1,0,0
Andhra Pradesh,1957,1957.06,1962.06,IBRAHIMPATNAM,GEN,INC,M N LAXMI NARSIAH,0.4636822194199243,0.12215216477511559,1,1,0,0
